timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712174139058,32,Get character id,200,OK,HTTP managers 1-19,text,true,,192,156,36,36,http://localhost:3001/character/id,32,0,0
1712174139060,30,Get character id,200,OK,HTTP managers 1-23,text,true,,192,156,36,36,http://localhost:3001/character/id,30,0,0
1712174139058,32,Get character id,200,OK,HTTP managers 1-17,text,true,,192,156,36,36,http://localhost:3001/character/id,32,0,0
1712174139057,34,Get character id,200,OK,HTTP managers 1-14,text,true,,192,156,36,36,http://localhost:3001/character/id,34,0,0
1712174138947,144,Get all characters,200,OK,HTTP managers 1-4,text,true,,357,154,36,36,http://localhost:3001/characters,144,0,52
1712174139060,33,Get character id,200,OK,HTTP managers 1-10,text,true,,192,156,36,36,http://localhost:3001/character/id,33,0,0
1712174139068,26,Create user,200,OK,HTTP managers 1-2,text,true,,264,217,36,36,http://localhost:3001/character,26,0,0
1712174139075,23,Create user,200,OK,HTTP managers 1-9,text,true,,264,217,37,37,http://localhost:3001/character,22,0,0
1712174139068,29,Create user,200,OK,HTTP managers 1-12,text,true,,264,217,37,37,http://localhost:3001/character,29,0,0
1712174139071,27,Create user,200,OK,HTTP managers 1-7,text,true,,264,217,37,37,http://localhost:3001/character,26,0,0
1712174139072,30,Create user,200,OK,HTTP managers 1-1,text,true,,264,217,38,38,http://localhost:3001/character,30,0,0
1712174139075,34,Create user,200,OK,HTTP managers 1-27,text,true,,264,217,38,38,http://localhost:3001/character,34,0,0
1712174139074,36,Create user,200,OK,HTTP managers 1-13,text,true,,264,217,38,38,http://localhost:3001/character,36,0,0
1712174139079,33,Create user,200,OK,HTTP managers 1-16,text,true,,264,217,38,38,http://localhost:3001/character,33,0,0
1712174139065,47,Get character id,200,OK,HTTP managers 1-3,text,true,,192,156,38,38,http://localhost:3001/character/id,47,0,0
1712174138965,150,Get all characters,200,OK,HTTP managers 1-24,text,true,,598,154,39,39,http://localhost:3001/characters,150,0,36
1712174139095,21,Change user,200,OK,HTTP managers 1-2,text,true,,264,216,39,39,http://localhost:3001/character/1,21,0,0
1712174139098,21,Change user,200,OK,HTTP managers 1-12,text,true,,264,216,39,39,http://localhost:3001/character/1,21,0,0
1712174139098,22,Change user,200,OK,HTTP managers 1-7,text,true,,264,216,39,39,http://localhost:3001/character/1,22,0,0
1712174139098,24,Change user,200,OK,HTTP managers 1-9,text,true,,264,216,39,39,http://localhost:3001/character/1,24,0,0
1712174139103,21,Change user,200,OK,HTTP managers 1-1,text,true,,264,216,40,40,http://localhost:3001/character/1,21,0,0
1712174139110,15,Change user,200,OK,HTTP managers 1-27,text,true,,264,216,40,40,http://localhost:3001/character/1,15,0,0
1712174139110,16,Change user,200,OK,HTTP managers 1-13,text,true,,264,216,40,40,http://localhost:3001/character/1,16,0,0
1712174139072,56,Create user,200,OK,HTTP managers 1-6,text,true,,264,217,40,40,http://localhost:3001/character,56,0,0
1712174139079,50,Create user,200,OK,HTTP managers 1-15,text,true,,264,217,40,40,http://localhost:3001/character,50,0,0
1712174139072,58,Create user,200,OK,HTTP managers 1-25,text,true,,264,217,40,40,http://localhost:3001/character,58,0,0
1712174139082,49,Create user,200,OK,HTTP managers 1-22,text,true,,264,217,40,40,http://localhost:3001/character,49,0,0
1712174139082,50,Create user,200,OK,HTTP managers 1-5,text,true,,264,217,40,40,http://localhost:3001/character,50,0,0
1712174139086,48,Create user,200,OK,HTTP managers 1-21,text,true,,264,217,41,41,http://localhost:3001/character,47,0,0
1712174139075,60,Create user,200,OK,HTTP managers 1-8,text,true,,264,217,41,41,http://localhost:3001/character,60,0,0
1712174139088,48,Create user,200,OK,HTTP managers 1-20,text,true,,264,217,41,41,http://localhost:3001/character,48,0,0
1712174139093,47,Get character id,200,OK,HTTP managers 1-4,text,true,,192,156,41,41,http://localhost:3001/character/id,47,0,0
1712174139082,58,Create user,200,OK,HTTP managers 1-11,text,true,,264,217,41,41,http://localhost:3001/character,58,0,0
1712174139091,51,Create user,200,OK,HTTP managers 1-19,text,true,,264,217,41,41,http://localhost:3001/character,51,0,0
1712174139092,53,Create user,200,OK,HTTP managers 1-17,text,true,,264,217,42,42,http://localhost:3001/character,53,0,0
1712174139092,56,Create user,200,OK,HTTP managers 1-14,text,true,,264,217,42,42,http://localhost:3001/character,56,0,0
